Name,State Land,Latitude,Longitude,Address,Town,County,,
Balsam Lake Mountain Lean-To,Balsam Lake Mountain Wild Forest,42.0394371,-74.594017,2953 Beaverkill Rd AOR,Hardenburgh,Ulster,,
Campsite,Balsam Lake Mountain Wild Forest,42.0156717,-74.5600168,2832 Beaverkill Rd,Hardenburgh,Ulster,,
Campsite,Balsam Lake Mountain Wild Forest,42.0467953,-74.6479611,211 Beecher Lake Dr,Hardenburgh,Ulster,,
Campsite,Balsam Lake Mountain Wild Forest,42.050966,-74.6787421,2 Cross Mountain Rd PAR,Hardenburgh,Ulster,,
Dry Brook Ridge Lean-To,Balsam Lake Mountain Wild Forest,42.0821852,-74.58661145,150 Fairbairn Rd,Hardenburgh,Ulster,,
Kelly Hollow Lean-To,Balsam Lake Mountain Wild Forest,42.06691259,-74.65463472,5163 Mill Brook Rd NAME,Hardenburgh,Ulster,,
Mill Brook Lean-To,Balsam Lake Mountain Wild Forest,42.06736823,-74.58698769,7117 Millbrook Rd,Hardenburgh,Ulster,,
Mill Brook Ridge Lean-To,Balsam Lake Mountain Wild Forest,42.04864124,-74.64505638,211 Beecher Lake Dr,Hardenburgh,Ulster,,
Campsite,Balsam Lake Mountain Wild Forest,42.05133048,-74.68090239,2 Cross Mountain Rd PAR,Hardenburgh,Ulster,,
Campsite,Balsam Lake Mountain Wild Forest,42.04714829,-74.68092332,2 Cross Mountain Rd PAR,Hardenburgh,Ulster,,
Campsite,Balsam Lake Mountain Wild Forest,42.04600679,-74.67777284,2 Cross Mountain Rd PAR,Hardenburgh,Ulster,,
Campsite,Balsam Lake Mountain Wild Forest,42.04695199,-74.67309217,2 Cross Mountain Rd PAR,Hardenburgh,Ulster,,
Campsite,Balsam Lake Mountain Wild Forest,42.05060573,-74.67108606,2 Cross Mountain Rd PAR,Hardenburgh,Ulster,,
Campsite,Balsam Lake Mountain Wild Forest,42.05158075,-74.67692633,2 Cross Mountain Rd PAR,Hardenburgh,Ulster,,
Campsite,Balsam Lake Mountain Wild Forest,42.05253223,-74.67446645,2 Cross Mountain Rd PAR,Hardenburgh,Ulster,,
Balsam Swamp State Forest Baker Pond Tent Site,Balsam Swamp State Forest,42.53141855,-75.82374527,513 N End Rd,German,Chenango,,
Balsam Swamp State Forest Campsite #11,Balsam Swamp State Forest,42.54894666,-75.75755878,340 Balsam Tyler Rd,Pharsalia,Chenango,,
Balsam Swamp State Forest Campsite #13,Balsam Swamp State Forest,42.54892058,-75.75801803,340 Balsam Tyler Rd,Pharsalia,Chenango,,
Balsam Swamp State Forest Campsite #9,Balsam Swamp State Forest,42.54903532,-75.75709897,340 Balsam Tyler Rd,Pharsalia,Chenango,,
Campsite,Balsam Swamp State Forest,42.54915308,-75.7564125,340 Balsam Tyler Rd,Pharsalia,Chenango,,
Campsite,Balsam Swamp State Forest,42.54914644,-75.75741636,340 Balsam Tyler Rd,Pharsalia,Chenango,,
Campsite,Balsam Swamp State Forest,42.54895875,-75.75535517,447 Balsam Tyler Rd,Pharsalia,Chenango,,
Campsite,Balsam Swamp State Forest,42.54890192,-75.75634141,340 Balsam Tyler Rd,Pharsalia,Chenango,,
Campsite,Balsam Swamp State Forest,42.54871904,-75.75736014,340 Balsam Tyler Rd,Pharsalia,Chenango,,
Campsite,Balsam Swamp State Forest,42.54928214,-75.75592059,447 Balsam Tyler Rd,Pharsalia,Chenango,,
Campsite,Balsam Swamp State Forest,42.54901974,-75.75564517,447 Balsam Tyler Rd,Pharsalia,Chenango,,
Campsite,Balsam Swamp State Forest,42.54909926,-75.75503356,447 Balsam Tyler Rd,Pharsalia,Chenango,,
Campsite,Balsam Swamp State Forest,42.54910017,-75.75680323,340 Balsam Tyler Rd,Pharsalia,Chenango,,
Campsite,Balsam Swamp State Forest,42.54881093,-75.75678272,340 Balsam Tyler Rd,Pharsalia,Chenango,,
Campsite,Balsam Swamp State Forest,42.54924776,-75.7554097,447 Balsam Tyler Rd,Pharsalia,Chenango,,
A-41 Lean To,Barbour Brook State Forest,42.152807,-75.31020964,2148 Dry Brook Rd AOR,Tompkins,Delaware,,
Primitive Campsite,Beals Pond State Forest,42.20315503,-75.37945048,605 Beals Pond E NAME,Masonville,Delaware,,
Primitive Campsite,Beals Pond State Forest,42.20482267,-75.38074365,650 Beals Pond E NAME,Masonville,Delaware,,
Unnamed,Beals Pond State Forest,42.22761661,-75.39021983,5 Getter Hill Rd,Masonville,Delaware,,
Beaver Creek State Forest Day Use-Designated Camping Site,Beaver Creek State Forest,42.85430257,-75.29594487,10609 Davis Rd,Brookfield,Madison,,
Orchard Campsite,Beaver Creek State Forest,42.85408807,-75.2961682,10609 Davis Rd,Brookfield,Madison,,
Beebe Hill Lean-To,Beebe Hill Multiple Use Area,42.3354251,-73.48418125,122 Engel Rd,Austerlitz,Columbia,,
East Ski Lean-To,Belleayre Mountain Ski Center,42.11503116,-74.49074982,257 Woodchuck Hollow Rd AOR,Shandaken,Ulster,,
West Ski Lean-To,Belleayre Mountain Ski Center,42.11771865,-74.50319921,303 Woodchuck Hollow Rd AOR,Shandaken,Ulster,,
Biscuit Brook Lean-To,Big Indian Wilderness,42.00910515,-74.4838519,1894 Frost Valley Rd,Denning,Ulster,,
Campsite,Big Indian Wilderness,42.0981816,-74.5110986,438 Rider Hollow Rd,Hardenburgh,Ulster,,
Fall Brook Lean-To,Big Indian Wilderness,41.99807543,-74.56039183,679 Wild Meadow Rd,Denning,Ulster,,
Mckinly Hollow Lean-To,Big Indian Wilderness,42.07533941,-74.4858565,274 McKenley Hollow Rd,Hardenburgh,Ulster,,
Rider Hollow Campsite,Big Indian Wilderness,42.10163487,-74.5171889,438 Rider Hollow Rd,Hardenburgh,Ulster,,
Rider Hollow Lean-To,Big Indian Wilderness,42.09201212,-74.50571316,438 Rider Hollow Rd,Hardenburgh,Ulster,,
Shandaken Brook Lean-To,Big Indian Wilderness,42.05027433,-74.51060017,48 Eagle Lodge Rd,Hardenburgh,Ulster,,
Sanford Lake Campsite,Birdseye Hollow State Forest,42.32901315,-77.17825956,6713 Round Lake Rd,Bath,Steuben,,
Sanford Lake Campsite,Birdseye Hollow State Forest,42.32927063,-77.17938118,6713 Round Lake Rd,Bath,Steuben,,
Sanford Lake Campsite,Birdseye Hollow State Forest,42.32885397,-77.17949616,6713 Round Lake Rd,Bath,Steuben,,
Sanford Lake Campsite,Birdseye Hollow State Forest,42.33244478,-77.17791526,6783 Round Lake Rd,Bath,Steuben,,
Sanford Lake Campsite,Birdseye Hollow State Forest,42.32916075,-77.17968291,6713 Round Lake Rd,Bath,Steuben,,
Sanford Lake Campsite,Birdseye Hollow State Forest,42.3290548,-77.17921201,6713 Round Lake Rd,Bath,Steuben,,
Sanford Lake Campsite,Birdseye Hollow State Forest,42.3287312,-77.17794744,6713 Round Lake Rd,Bath,Steuben,,
Unnamed,Birdseye Hollow State Forest,42.33475064,-77.15826702,6885 State Route 226,Bradford,Steuben,,
Unnamed,Birdseye Hollow State Forest,42.33206913,-77.18161219,6922 Chrisler Rd,Bath,Steuben,,
Unnamed,Birdseye Hollow State Forest,42.36343298,-77.12658529,7416 State Route 226,Bradford,Steuben,,
Administrative Road Campsite,Black River Wild Forest,43.62371736,-74.99155424,104 Woodhull Lndg,Webb,Herkimer,,
Bear Lake Lean-To,Black River Wild Forest,43.60007354,-75.05300321,933 Bear Creek Rd NAME,Webb,Herkimer,,
Bisby Road/Nicks Lake Trail Campsite,Black River Wild Forest,43.69350155,-74.98666532,119 Bisby Rd PAR,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.6087444,-75.079236,110 McKeever Rd Spur,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.6131878,-75.061909,225 McKeever Rd CR,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.6093736,-75.0705242,225 McKeever Rd CR,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.5923719,-75.0058472,121 Woodhull Lndg,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.6057461,-75.0240322,118 Woodhull Lndg,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.6079088,-75.0248503,118 Woodhull Lndg,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.6149041,-75.0304169,118 Woodhull Lndg,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.6182038,-75.0358979,118 Woodhull Lndg,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.6177902,-75.0365797,118 Woodhull Lndg,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.6024214,-75.0546898,110 McKeever Rd Spur,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.6133715,-75.055436,225 McKeever Rd CR,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.6270378,-75.0364498,1094 State Route 28 NAME,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.6255973,-75.0358866,1094 State Route 28 NAME,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.625837,-75.0361706,1094 State Route 28 NAME,Webb,Herkimer,,
Chub Pond #1 Lean-To,Black River Wild Forest,43.52247816,-75.04474914,928 Bear Creek Rd NAME,Ohio,Herkimer,,
Chub Pond #2 Lean-To,Black River Wild Forest,43.52982257,-75.04249371,928 Bear Creek Rd NAME,Ohio,Herkimer,,
Gull Lake Lean-To,Black River Wild Forest,43.55374692,-75.05937761,928 Bear Creek Rd NAME,Webb,Herkimer,,
Lean-To,Black River Wild Forest,43.534115,-74.92809353,474 N Lake Rd,Ohio,Herkimer,,
Long Lake Accessible Campsite,Black River Wild Forest,43.55583706,-75.15753783,224 Long Lake Rd,Forestport,Oneida,,
Nelson Lake Trail Lean-To,Black River Wild Forest,43.65207542,-75.05924709,1094 State Route 28 NAME,Webb,Herkimer,,
North Lake Designated Campsite #10,Black River Wild Forest,43.52898888,-74.94247143,2847 S Lake Rd,Ohio,Herkimer,,
North Lake Designated Campsite #11,Black River Wild Forest,43.52977988,-74.9403576,392 N Lake Rd AOR,Ohio,Herkimer,,
North Lake Designated Campsite #2,Black River Wild Forest,43.52293019,-74.94933889,2799 S Lake Rd,Ohio,Herkimer,,
North Lake Designated Campsite #3,Black River Wild Forest,43.52335381,-74.94934207,2799 S Lake Rd,Ohio,Herkimer,,
North Lake Designated Campsite #4,Black River Wild Forest,43.52506095,-74.94695943,2827 S Lake Rd,Ohio,Herkimer,,
North Lake Designated Campsite #6,Black River Wild Forest,43.52569387,-74.94579628,2839 S Lake Rd,Ohio,Herkimer,,
North Lake Designated Campsite #7,Black River Wild Forest,43.52600551,-74.94534407,2839 S Lake Rd,Ohio,Herkimer,,
North Lake Designated Campsite #8,Black River Wild Forest,43.52775406,-74.94410338,2847 S Lake Rd,Ohio,Herkimer,,
North Lake Designated Campsite #9,Black River Wild Forest,43.52800073,-74.94327684,2847 S Lake Rd,Ohio,Herkimer,,
Campsite,Black River Wild Forest,43.51529059,-74.90967,3438 S Lake Rd,Ohio,Herkimer,,
Campsite,Black River Wild Forest,43.47703047,-75.0089413,1842 Farr Rd AOR,Ohio,Herkimer,,
Campsite,Black River Wild Forest,43.48088879,-75.01092893,1296 N Lake Rd,Ohio,Herkimer,,
Campsite,Black River Wild Forest,43.61254681,-75.05263918,225 McKeever Rd CR,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.61805247,-75.03272826,118 Woodhull Lndg,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.61053007,-75.02701572,118 Woodhull Lndg,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.61368033,-75.09087559,225 McKeever Rd CR,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.54038222,-74.92580987,543 N Lake Rd,Ohio,Herkimer,,
Campsite,Black River Wild Forest,43.59254977,-75.0887635,14098 Route 28,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.58885404,-74.999126,121 Woodhull Lndg,Webb,Herkimer,,
Campsite,Black River Wild Forest,43.59171534,-75.00692959,121 Woodhull Lndg,Webb,Herkimer,,
Remsen Falls Lean-To,Black River Wild Forest,43.6299249,-75.03628775,1094 State Route 28 NAME,Webb,Herkimer,,
Sand Lake Falls Lean-To,Black River Wild Forest,43.55897237,-75.00297626,928 Bear Creek Rd NAME,Webb,Herkimer,,
Woodhull Lake Lean-To,Black River Wild Forest,43.59988491,-75.02038175,118 Woodhull Lndg,Webb,Herkimer,,
Camp Six Road Roadside Tentsite,Blue Mountain Wild Forest,43.89109821,-74.18582235,1204 Goodnow Flow Rd AOR,Newcomb,Essex,,
Camp Six Road Roadside Tentsite,Blue Mountain Wild Forest,43.88077562,-74.19203197,1525 Goodnow Flow Rd AOR,Newcomb,Essex,,
Camp Six Road Roadside Tentsite,Blue Mountain Wild Forest,43.88676897,-74.18811502,1525 Goodnow Flow Rd AOR,Newcomb,Essex,,
Campsite,Blue Mountain Wild Forest,43.8808124,-74.3701408,8126 State Route 30,Indian Lake,Hamilton,,
Chain Lakes Road South Roadside Tentsite,Blue Mountain Wild Forest,43.83548858,-74.20954243,662 Chain Lakes Rd,Minerva,Essex,,
Chain Lakes Road South Roadside Tentsite,Blue Mountain Wild Forest,43.83187374,-74.20872466,662 Chain Lakes Rd,Minerva,Essex,,
Cornell Road Roadside Tentsite,Blue Mountain Wild Forest,43.91276055,-74.25893054,465 Woodys Rd,Minerva,Essex,,
Cornell Road Roadside Tentsite,Blue Mountain Wild Forest,43.90792942,-74.27080806,1918 Goodnow Flow Rd,Minerva,Essex,,
Cornell Road Roadside Tentsite,Blue Mountain Wild Forest,43.90676536,-74.27281394,1918 Goodnow Flow Rd,Minerva,Essex,,
Cornell Road Roadside Tentsite,Blue Mountain Wild Forest,43.91196387,-74.26296098,465 Woodys Rd,Minerva,Essex,,
Deer Pond Road Roadside Tentsite,Blue Mountain Wild Forest,43.89216195,-74.26809069,1796 Goodnow Flow Rd AOR,Minerva,Essex,,
Deer Pond Road Roadside Tentsite,Blue Mountain Wild Forest,43.8896153,-74.26604945,1796 Goodnow Flow Rd AOR,Minerva,Essex,,
Lake Durant Campsite,Blue Mountain Wild Forest,43.84262102,-74.40226403,8734 State Route 30,Indian Lake,Hamilton,,
Lake Durant Campsite,Blue Mountain Wild Forest,43.8421,-74.39518,8734 State Route 30,Indian Lake,Hamilton,,
O'neill Flow Lean-To,Blue Mountain Wild Forest,43.87559684,-74.36642624,8126 State Route 30,Indian Lake,Hamilton,,
O'neill Flow Tentsite,Blue Mountain Wild Forest,43.87567136,-74.36664672,8126 State Route 30,Indian Lake,Hamilton,,
Polaris (Iron) Bridge Tentsite,Blue Mountain Wild Forest,43.89465269,-74.16515869,1204 Goodnow Flow Rd AOR,Newcomb,Essex,,
Primitive Tent Site,Blue Mountain Wild Forest,43.84726403,-74.4227394,120 Durant Rd,Indian Lake,Hamilton,,
Primitive Tentsite,Blue Mountain Wild Forest,43.84825846,-74.42379187,151 Durant Rd,Indian Lake,Hamilton,,
Primitive Tentsite,Blue Mountain Wild Forest,43.84714226,-74.42233142,120 Durant Rd,Indian Lake,Hamilton,,
Rock Lake,Blue Mountain Wild Forest,43.8252496,-74.33359827,7940 State Route 30,Indian Lake,Hamilton,,
Rock Lake Site,Blue Mountain Wild Forest,43.82584074,-74.33626101,7940 State Route 30,Indian Lake,Hamilton,,
Rock Lake Site,Blue Mountain Wild Forest,43.82852276,-74.32731423,7940 State Route 30,Indian Lake,Hamilton,,
Rock Lake Site,Blue Mountain Wild Forest,43.82620868,-74.32663749,7940 State Route 30,Indian Lake,Hamilton,,
Salmon River Tentsites,Blue Mountain Wild Forest,43.90792507,-74.38530802,8126 State Route 30,Indian Lake,Hamilton,,
Tirrel Pond North Lean-To,Blue Mountain Wild Forest,43.88734448,-74.37880063,8126 State Route 30,Indian Lake,Hamilton,,
Tirrell Pond North Tentsites,Blue Mountain Wild Forest,43.88594344,-74.37834898,8126 State Route 30,Indian Lake,Hamilton,,
Unnamed,Blue Mountain Wild Forest,43.83297585,-74.33646594,7940 State Route 30,Indian Lake,Hamilton,,
Cascade Pond Lean-To,Blue Ridge Wilderness,43.82993747,-74.4366163,243 Durant Rd,Indian Lake,Hamilton,,
Sprague Pond Campsite #1,Blue Ridge Wilderness,43.79406318,-74.37841833,1000 Cedar River Rd,Indian Lake,Hamilton,,
Sprague Pond Campsite #2,Blue Ridge Wilderness,43.79596841,-74.37831225,1000 Cedar River Rd,Indian Lake,Hamilton,,
Stephens Pond Lean-To,Blue Ridge Wilderness,43.81867367,-74.42052487,1176 Cedar River Rd,Indian Lake,Hamilton,,
Wilson Pond Lean-To,Blue Ridge Wilderness,43.82019178,-74.46868032,462 Eagle Nest Rd,Indian Lake,Hamilton,,
Campsite,Bluestone Wild Forest,41.9871733,-74.0812055,1011 Route 28,Kingston,Ulster,,
Campsite,Bluestone Wild Forest,41.9845465,-74.0803143,904 Route 28,Kingston,Ulster,,
Mud Pond Campsite #1,Bonaparte's Cave State Forest,44.16076975,-75.37363453,8452 N Shore Rd,Diana,Lewis,,
Mud Pond Campsite #2,Bonaparte's Cave State Forest,44.16178503,-75.37170024,8452 N Shore Rd,Diana,Lewis,,
Mud Pond Campsite #3,Bonaparte's Cave State Forest,44.16379865,-75.36824107,8426 N Shore Rd,Diana,Lewis,,
Wah Road Campsite #1,Bonaparte's Cave State Forest,44.15626817,-75.35911693,8318 N Shore Rd,Diana,Lewis,,
Wah Road Campsite #2,Bonaparte's Cave State Forest,44.1580064,-75.35921372,8318 N Shore Rd,Diana,Lewis,,
Wah Road Campsite #3,Bonaparte's Cave State Forest,44.15897183,-75.35824927,8318 N Shore Rd,Diana,Lewis,,
East Side Of Boquet River Primitive Area Campsite,Boquet River Primtive Area,44.12174942,-73.66063825,5883 United States Route 9,Elizabethtown,Essex,,
Boyce Hill State Forest Designated Campsite,Boyce Hill State Forest,42.33233797,-78.52022267,1456 County Road 17,Franklinville,Cattaraugus,,
Flt Lean To,Boyce Hill State Forest,42.33403146,-78.53288931,1689 County Road 17,Franklinville,Cattaraugus,,
Campsite,Boyce Hill State Forest,42.33203562,-78.52072511,1456 County Road 17,Franklinville,Cattaraugus,,
Camp Larue Pfar Campsites,Brasher State Forest,44.83065435,-74.76637151,120 Vice Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 1,Brasher State Forest,44.83573435,-74.66870988,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 10,Brasher State Forest,44.83571602,-74.67129654,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 11,Brasher State Forest,44.83574435,-74.67160988,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 12,Brasher State Forest,44.83585102,-74.67197988,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 14,Brasher State Forest,44.83588602,-74.67533988,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 15,Brasher State Forest,44.83567935,-74.67517821,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 16,Brasher State Forest,44.83560435,-74.67482154,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 17,Brasher State Forest,44.83538602,-74.67475321,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 18,Brasher State Forest,44.83512768,-74.67461821,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 19,Brasher State Forest,44.83449435,-74.67423988,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 2,Brasher State Forest,44.83574435,-74.66909154,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 20,Brasher State Forest,44.83423602,-74.67403654,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 21,Brasher State Forest,44.83373768,-74.67372154,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 3,Brasher State Forest,44.83569435,-74.66935655,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 4,Brasher State Forest,44.83572435,-74.66974988,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 5,Brasher State Forest,44.83573768,-74.67003988,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 6,Brasher State Forest,44.83564768,-74.67036321,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 7,Brasher State Forest,44.83566602,-74.67053321,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 8,Brasher State Forest,44.83562102,-74.67080321,316 Old Keenan Rd,Brasher,St. Lawrence,,
Cc Dam Campsite 9,Brasher State Forest,44.83569268,-74.67107488,316 Old Keenan Rd,Brasher,St. Lawrence,,
Vice Road North Campsite,Brasher State Forest,44.85993768,-74.77879651,"3 Munson Rd CR, HYP",Brasher,St. Lawrence,,
Vice Road South Campsite,Brasher State Forest,44.84133935,-74.7908865,564 County Route 53,Brasher,St. Lawrence,,
Campsite,Bryant Hill State Forest,42.2877663,-78.57741572,1460 Clare Valley Rd,Franklinville,Cattaraugus,,
Bucktooth State Forest Designated Campsite,Bucktooth State Forest,42.20517461,-78.80564272,893 W Bucktooth Run Rd AOR,Little Valley,Cattaraugus,,
Campsite,Bucktooth State Forest,42.20538522,-78.80556092,893 W Bucktooth Run Rd AOR,Little Valley,Cattaraugus,,
Campsite,Bully Hill State Forest,42.33952919,-77.78408888,1056 Karr Rd,Almond,Allegany,,
Campsite,Bully Hill State Forest,42.34155081,-77.79784855,7742 Mike Dixon Rd,Almond,Allegany,,
Campsite,Bully Hill State Forest,42.34639308,-77.79797019,1138 Karr Rd,Almond,Allegany,,
Campsite,Bully Hill State Forest,42.34584706,-77.7772106,1056 Karr Rd,Almond,Allegany,,
Campsite,Bully Hill State Forest,42.34525481,-77.76700272,706 Dungan Rd,Almond,Allegany,,
Campsite,Bully Hill State Forest,42.33543894,-77.76223604,7554 Stearns Rd,Almond,Allegany,,
Campsite,Bully Hill State Forest,42.33325959,-77.76270614,7554 Stearns Rd,Almond,Allegany,,
Campsite,Bully Hill State Forest,42.34295161,-77.82129671,1734 Ryan Rd,Almond,Allegany,,
Betty Brook Campsite,Burnt-Rossman Hills State Forest,42.528207,-74.51414111,267 Miller Rd,Blenheim,Schoharie,,
Cole Hollow Stream Campsite,Burnt-Rossman Hills State Forest,42.51738098,-74.47833625,"739 Cole Hollow Rd PAR, AOR",Blenheim,Schoharie,,
Duck Pond Campsite,Burnt-Rossman Hills State Forest,42.51016509,-74.48356979,116 Duck Pond Rd,Blenheim,Schoharie,,
Eminence Lean-To,Burnt-Rossman Hills State Forest,42.54330372,-74.48859459,1478 Burnt Hill Rd,Fulton,Schoharie,,
Panther Creek Campsite,Burnt-Rossman Hills State Forest,42.57079974,-74.52220797,822 Sawyer Hollow Rd,Fulton,Schoharie,,
Primitive Camp Site At Eminence Lean -To,Burnt-Rossman Hills State Forest,42.54330372,-74.48859459,1478 Burnt Hill Rd,Fulton,Schoharie,,
Westkill Camp Site,Burnt-Rossman Hills State Forest,42.48911925,-74.50938006,1223 Westkill Rd,Blenheim,Schoharie,,
On Finger Lake Trail Lean-To,Burt Hill Multiple Use Area,42.31321306,-77.56637346,6482 S Woods Rd,Howard,Steuben,,
Designated Camp Site,Bush Hill State Forest,42.33273597,-78.33508401,417 Palmer Rd,Lyndon,Cattaraugus,,
Designated Camp Site,Bush Hill State Forest,42.37229364,-78.37197016,8423 Peet Hill Rd,Farmersville,Cattaraugus,,
Designated Camp Site,Bush Hill State Forest,42.37521134,-78.37238301,8423 Peet Hill Rd,Farmersville,Cattaraugus,,
Designated Camp Site,Bush Hill State Forest,42.37543269,-78.37003425,8423 Peet Hill Rd,Farmersville,Cattaraugus,,
Designated Camp Site,Bush Hill State Forest,42.37869439,-78.36651378,1097 Bush Hill Rd,Farmersville,Cattaraugus,,
Designated Camp Site,Bush Hill State Forest,42.37844884,-78.36321615,1075 Bush Hill Rd AOR,Farmersville,Cattaraugus,,
Designated Camp Site,Bush Hill State Forest,42.37834161,-78.36038781,791 D Bush Hill Rd,Farmersville,Cattaraugus,,
Designated Camp Site,Bush Hill State Forest,42.37870458,-78.3596887,791 D Bush Hill Rd,Farmersville,Cattaraugus,,
Designated Camp Site,Bush Hill State Forest,42.37894474,-78.35539058,791 D Bush Hill Rd,Farmersville,Cattaraugus,,
Designated Camp Site,Bush Hill State Forest,42.37513245,-78.33871444,476 Stebbins Rd,Farmersville,Cattaraugus,,
County Route 10 Campsite #6,Cameron State Forest,42.23193336,-77.39627115,4744 County Route 10,Cameron,Steuben,,
